Time (s);Position_X;Position_Y;norme;vitesse;acceleration
0,0078;0,055791282;0,16568894;0,174829894;0,105822009;-104,0991056
0,0079;0,056499425;0,165458921;0,174839468;0,095731889;-100,9011933
0,008;0,057206854;0,165224762;0,174848066;0,085979139;-97,5275054
0,0081;0,05791356;0,164986545;0,174855771;0,077054431;-89,24707633
0,0082;0,058619532;0,164744306;0,17486262;0,068490178;-85,64253645
0,0083;0,05932476;0,164498076;0,174868648;0,060284095;-82,06083154
0,0084;0,060029229;0,164247924;0,174873923;0,052742335;-75,41759971
0,0085;0,060732922;0,163993898;0,174878491;0,045679572;-70,62762097
0,0086;0,061435826;0,163736039;0,174882392;0,039015394;-66,64178569
0,0087;0,062137928;0,163474398;0,17488568;0,0328744;-61,40993719
0,0088;0,062839221;0,16320903;0,174888408;0,027284103;-55,90297626
0,0089;0,06353969;0,162939973;0,174890615;0,022067949;-52,16153119
0,009;0,064239322;0,162667269;0,174892341;0,017264346;-48,03603366
0,0091;0,064938102;0,162390978;0,174893644;0,013028029;-42,36316813
0,0092;0,065636016;0,162111144;0,174894567;0,009231782;-37,9624727
0,0093;0,066333054;0,161827805;0,174895147;0,005797989;-34,3379312
0,0094;0,067029204;0,161541006;0,174895428;0,002812487;-29,8550164
0,0095;0,067724455;0,161250794;0,174895456;0,000277678;-25,34809689
0,0096;0,068418792;0,16095721;0,174895268;-0,001882863;-21,6054032
0,0097;0,069112202;0,160660296;0,174894903;-0,003648708;-17,65844747
0,0098;0,069804671;0,160360097;0,174894405;-0,00497948;-13,30772376
0,0099;0,070496189;0,160056654;0,174893811;-0,00594038;-9,608996887
0,01;0,071186745;0,15975;0,174893154;-0,006571955;-6,315756598
0,0101;0,071876326;0,159440177;0,17489247;-0,006834586;-2,62630592
0,0102;0,072564919;0,159127225;0,174891799;-0,006715994;1,185916992
0,0103;0,073252512;0,158811181;0,174891172;-0,006270537;4,454569955
0,0104;0,073939092;0,158492081;0,17489062;-0,005515576;7,549615266
0,0105;0,074624647;0,158169959;0,174890177;-0,004433807;10,81768394
0,0106;0,075309166;0,157844851;0,174889872;-0,003043996;13,89811671
0,0107;0,075992635;0,157516783;0,174889729;-0,0014286;16,15395464
0,0108;0,076675038;0,157185769;0,174889758;0,000287612;17,16212317
0,0109;0,077356356;0,156851817;0,17488996;0,002020451;17,32839132
0,011;0,078036572;0,156514931;0,174890338;0,003775824;17,55372777
0,0111;0,07871567;0,156175116;0,174890891;0,005529444;17,53620026
0,0112;0,07939363;0,155832365;0,174891607;0,007165569;16,36125357
0,0113;0,080070431;0,155486659;0,174892467;0,008597333;14,31763193
0,0114;0,080746052;0,155137984;0,174893451;0,009837081;12,39748658
0,0115;0,081420474;0,154786334;0,174894547;0,010966704;11,29622677
0,0116;0,082093679;0,154431706;0,174895752;0,01204647;10,79766426
0,0117;0,08276565;0,154074097;0,174897056;0,013042878;9,964073891
0,0118;0,083436366;0,153713498;0,174898447;0,013902752;8,598738785
0,0119;0,084105808;0,153349898;0,174899909;0,014621964;7,192127535
0,012;0,084773953;0,152983287;0,174901427;0,015186034;5,640691345
0,0121;0,08544078;0,152613651;0,174902983;0,015551419;3,653855152
0,0122;0,086106265;0,152240973;0,174904553;0,015707061;1,556415899
0,0123;0,086770386;0,151865239;0,17490612;0,015664765;-0,422952109
0,0124;0,087433122;0,151486435;0,174907664;0,015438318;-2,264479773
0,0125;0,08809445;0,151104552;0,17490917;0,01506573;-3,725874009
0,0126;0,088754346;0,150719586;0,174910628;0,014574502;-4,912280396
0,0127;0,089412788;0,150331531;0,174912023;0,013952545;-6,219575205
0,0128;0,090069751;0,149940378;0,174913341;0,013185924;-7,666205051
0,0129;0,090725213;0,14954612;0,174914568;0,012270265;-9,156590267
0,013;0,091379148;0,149148748;0,174915688;0,011191083;-10,79181925
0,0131;0,092031532;0,148748253;0,174916682;0,009941512;-12,49570813
0,0132;0,092682338;0,148344627;0,174917535;0,008536446;-14,05066272
0,0133;0,093331542;0,147937866;0,174918235;0,00699256;-15,43885765
0,0134;0,093979118;0,147527964;0,174918767;0,005321809;-16,70751358
0,0135;0,094625043;0,147114921;0,17491912;0,003536708;-17,85100676
0,0136;0,095269292;0,146698732;0,174919284;0,001639971;-18,96737514
0,0137;0,095911838;0,146279398;0,174919247;-0,000375655;-20,15625993
0,0138;0,096552655;0,145856915;0,174918995;-0,002515521;-21,39865936
0,0139;0,097191191;0,145431321;0,174918258;-0,007377486;-48,6196515
0,014;0,097826831;0,145002671;0,174916733;-0,015247059;-78,69572539
0,0141;0,098459539;0,144570993;0,174914416;-0,02316779;-79,20731386
0,0142;0,099089286;0,144136326;0,174911312;-0,031036768;-78,68977951
0,0143;0,099716042;0,14369872;0,174907436;-0,038761064;-77,24295483
0,0144;0,100339773;0,143258212;0,174902789;-0,046475495;-77,14431482
0,0145;0,100960442;0,142814831;0,174897361;-0,054277368;-78,01872587
0,0146;0,101578008;0,142368583;0,174891123;-0,062375503;-80,98135402
0,0147;0,102192423;0,141919469;0,174884039;-0,07084427;-84,68766298
0,0148;0,102803639;0,141467478;0,174876058;-0,079810917;-89,6664748
0,0149;0,103411598;0,141012575;0,174867107;-0,089512814;-97,01897447
0,015;0,104016246;0,14055474;0,174857126;-0,099811149;-102,9833479
0,0151;0,104617527;0,140093942;0,174846045;-0,110805253;-109,9410343
0,0152;0,105215388;0,139630161;0,174833806;-0,122385453;-115,8020013
0,0153;0,105809782;0,139163403;0,174820373;-0,134337282;-119,5182952
0,0154;0,106400664;0,138693674;0,17480571;-0,146624316;-122,8703378
0,0155;0,106987986;0,138220985;0,174789788;-0,159223833;-125,9951682
0,0156;0,107571718;0,137745381;0,174772607;-0,171804776;-125,8094287
0,0157;0,108151811;0,137266889;0,17475415;-0,184570735;-127,6595967
0,0158;0,10872826;0,136785603;0,174734472;-0,196781633;-122,1089753
0,0159;0,109301022;0,136301587;0,174713583;-0,208895558;-121,1392513
0,016;0,109870166;0,135815068;0,174691689;-0,218937486;-100,4192808
0,0161;0,110435667;0,135326211;0,174668887;-0,228023067;-90,85581241
0,0162;0,110997618;0,134835271;0,174645417;-0,234694712;-66,71644724
0,0163;0,11155596;0,134342357;0,174621308;-0,241091895;-63,97182542
0,0164;0,112110654;0,13384745;0,174596503;-0,248051763;-69,59868022
0,0165;0,112661657;0,133350582;0,174570979;-0,255235644;-71,83881402
0,0166;0,113208925;0,132851768;0,174544701;-0,262777804;-75,42159489
0,0167;0,113752442;0,132351047;0,174517672;-0,270294885;-75,17081512
0,0168;0,114292172;0,131848452;0,174489871;-0,278012565;-77,17679883
0,0169;0,114828088;0,131344019;0,174461288;-0,285824395;-78,11829687
0,017;0,115360153;0,130837789;0,174431911;-0,293767934;-79,43539195
0,0171;0,115888343;0,130329805;0,174401738;-0,301737776;-79,69841712
0,0172;0,116413789;0,129819941;0,174371407;-0,303310134;-15,72358005
0,0173;0,116936899;0,12930814;0,174341141;-0,302659764;6,503695893
0,0174;0,117457656;0,128794407;0,17431093;-0,302111447;5,483172141
0,0175;0,117976034;0,128278744;0,174280753;-0,30176548;3,459667616
0,0176;0,118492007;0,127761159;0,174250594;-0,301590275;1,752055157
0,0177;0,119005551;0,127241653;0,174220433;-0,301609812;-0,19537367
0,0178;0,119516641;0,126720219;0,174190245;-0,301878656;-2,688439221
0,0179;0,120025255;0,126196851;0,174160004;-0,302406612;-5,279565429
0,018;0,120531363;0,125671544;0,174129683;-0,303215017;-8,084050546
0,0181;0,121034936;0,125144293;0,174099252;-0,304306297;-10,9127998
0,0182;0,121535941;0,124615095;0,174068684;-0,30568129;-13,74992189
0,0183;0,122034353;0,124083944;0,174037951;-0,307334551;-16,53261462
0,0184;0,122530146;0,123550831;0,174007025;-0,30925862;-19,24069223
0,0185;0,123023312;0,123015776;0,173975907;-0,311176202;-19,17581526
0,0186;0,123513834;0,122478801;0,173944601;-0,313066852;-18,90649729
0,0187;0,124001689;0,121939916;0,173913087;-0,315135372;-20,68520773
0,0188;0,124486829;0,121399098;0,173881314;-0,317727679;-25,92306196
0,0189;0,124969215;0,120856315;0,173849227;-0,320871368;-31,43689225
0,019;0,1254488;0,120311528;0,173816758;-0,324695023;-38,23655569
0,0191;0,125925552;0,119764722;0,173783869;-0,328886146;-41,91123139
0,0192;0,126399413;0,119215862;0,173750491;-0,33377564;-48,89493516
0,0193;0,126870338;0,118664923;0,17371657;-0,339217317;-54,41676973
0,0194;0,127338249;0,11811185;0,173682005;-0,345650447;-64,33130199
0,0195;0,127803142;0,117556634;0,173646783;-0,352215174;-65,64726724
0,0196;0,128264966;0,116999306;0,173610884;-0,358991577;-67,76403228
0,0197;0,128724241;0,116440565;0,173575158;-0,357259475;17,32102339
0,0198;0,129180778;0,115880537;0,173539541;-0,35617196;10,87514866
0,0199;0,129634901;0,115319415;0,173504395;-0,351461891;47,10069362
0,02;0,13008621;0,11475702;0,173469293;-0,351019336;4,425540126
0,0201;0,130534518;0,114192926;0,173433805;-0,354876085;-38,56748605
0,0202;0,130980076;0,113627486;0,173398344;-0,354606812;2,692729045
0,0203;0,131422706;0,113060684;0,173362758;-0,355865174;-12,58362029
0,0204;0,131862403;0,112492355;0,173326926;-0,358323148;-24,57973995
0,0205;0,132299062;0,111922475;0,173290745;-0,36180501;-34,8186187
0,0206;0,132732571;0,111350915;0,173254038;-0,36706815;-52,63140223
0,0207;0,133162815;0,110777551;0,173216631;-0,374076687;-70,08536392
0,0208;0,133589717;0,110202288;0,173178396;-0,382345902;-82,69214966
0,0209;0,134013175;0,109625083;0,173139221;-0,391746234;-94,0033185
0,021;0,134433116;0,109045908;0,173099026;-0,401958805;-102,1257106
0,0211;0,134849482;0,108464739;0,173057743;-0,412822183;-108,6337823
0,0212;0,135262223;0,107881571;0,173015324;-0,424197103;-113,7492063
0,0213;0,135671315;0,107296439;0,172971765;-0,435586249;-113,8914593
0,0214;0,136076666;0,106709331;0,17292698;-0,447849991;-122,6374198
0,0215;0,1364784;0,106120362;0,17288113;-0,458504365;-106,5437411
0,0216;0,136876501;0,105529686;0,172834288;-0,468417802;-99,13436272
0,0217;0,137271486;0,104937837;0,172787183;-0,471050251;-26,32449337
0,0218;0,137662911;0,104344679;0,172739367;-0,47815387;-71,03618875
0,0219;0,138050603;0,103749799;0,172690445;-0,4892241;-110,7023039
0,022;0,138434489;0,103153256;0,172640383;-0,500615665;-113,9156433
0,0221;0,13881452;0,10255505;0,172589134;-0,512488977;-118,733126
0,0222;0,139190636;0,101955163;0,17253663;-0,525049089;-125,601114
0,0223;0,139562767;0,101353567;0,172482786;-0,538438697;-133,89608
0,0224;0,139930782;0,100750202;0,172427455;-0,553310711;-148,7201478
0,0225;0,140294546;0,100144972;0,172370459;-0,569959743;-166,4903173
0,0226;0,140653954;0,099537824;0,172311675;-0,587837071;-178,7732772
0,0227;0,141008884;0,098928739;0,172250982;-0,606929949;-190,9287778
0,0228;0,141359352;0,098317788;0,172188425;-0,62557039;-186,4044163
0,0229;0,141705323;0,097705073;0,172124024;-0,644004553;-184,3416292
0,023;0,142047273;0,097091061;0,172058426;-0,655984244;-119,7969065
0,0231;0,142385069;0,096475913;0,171991597;-0,668287251;-123,0300683
0,0232;0,142718984;0,095859784;0,17192384;-0,677575181;-92,87929981
0,0233;0,1430486;0,095242557;0,171854725;-0,691148411;-135,7323067
0,0234;0,143373762;0,094623954;0,171783958;-0,707669501;-165,210895
0,0235;0,143694464;0,094004109;0,171711594;-0,723641105;-159,7160366
0,0236;0,144010738;0,093383108;0,171637692;-0,739014023;-153,7291812
0,0237;0,144322508;0,092760968;0,171562186;-0,755066524;-160,525012
0,0238;0,144629637;0,092137629;0,171484911;-0,772752128;-176,8560419
0,0239;0,14493203;0,091513061;0,171405757;-0,791531904;-187,797764
0,024;0,145229582;0,090887269;0,171324625;-0,81132372;-197,9181529
0,0241;0,145522226;0,090260277;0,171241455;-0,83170215;-203,7843079
0,0242;0,145809894;0,089632127;0,171156195;-0,852596443;-208,9429292
0,0243;0,146092572;0,089002879;0,171068852;-0,873434579;-208,3813594
0,0244;0,146370215;0,088372606;0,170979406;-0,894455361;-210,2078119
0,0245;0,146642816;0,087741368;0,170887867;-0,915392883;-209,3752211
0,0246;0,146910295;0,087109208;0,170794171;-0,936957047;-215,6416482
0,0247;0,147172656;0,086476174;0,170698329;-0,95842701;-214,6996298
0,0248;0,147429812;0,085842324;0,170600276;-0,980527467;-221,0045642
0,0249;0,14768183;0,085207744;0,170500095;-1,001809058;-212,8159089
0,025;0,147928631;0,084572518;0,170397742;-1,023527529;-217,1847167
0,0251;0,148170364;0,083936768;0,170293387;-1,043552165;-200,2463554
0,0252;0,148406914;0,083300591;0,170186958;-1,064286469;-207,3430413
0,0253;0,148638441;0,082664082;0,170078619;-1,083396207;-191,0973746
0,0254;0,148864788;0,082027316;0,169968249;-1,103695419;-202,9921245
0,0255;0,149086029;0,081390315;0,169855902;-1,123472236;-197,7681671
0,0256;0,149302009;0,080753145;0,169741452;-1,144500446;-210,2820999
0,0257;0,149512748;0,08011581;0,169624895;-1,165572545;-210,720996
0,0258;0,14971816;0,079478389;0,16950617;-1,18724143;-216,6888434
0,0259;0,149918274;0,078840927;0,169385302;-1,208683242;-214,418128
0,026;0,150113038;0,078203511;0,169262262;-1,230399505;-217,1626204
0,0261;0,150302466;0,077566195;0,169137063;-1,251991422;-215,9191751
0,0262;0,150486528;0,076929065;0,169009692;-1,273706985;-217,1556302
0,0263;0,150665238;0,076292187;0,16888017;-1,29522296;-215,1597458
0,0264;0,150838582;0,075655647;0,168748496;-1,316742985;-215,2002522
0,0265;0,151006392;0,075019646;0,168614583;-1,339127934;-223,8494901
0,0266;0,15116871;0,074384231;0,168478464;-1,361192332;-220,6439799
0,0267;0,151325601;0,073749442;0,168340184;-1,382792287;-215,9995488
0,0268;0,151477106;0,073115323;0,168199775;-1,404098008;-213,0572131
0,0269;0,151623302;0,072481912;0,168057292;-1,424827954;-207,2994619
0,027;0,151764239;0,071849258;0,167912776;-1,445162076;-203,3412221
0,0271;0,151899982;0,071217409;0,167766277;-1,464981766;-198,1968955
0,0272;0,152030568;0,070586423;0,167617829;-1,484483435;-195,0166914
0,0273;0,152156063;0,069956347;0,167467484;-1,503452282;-189,6884659
0,0274;0,152276521;0,069327232;0,167315283;-1,52200475;-185,5246821
0,0275;0,152392008;0,068699121;0,167161279;-1,540040827;-180,3607667
0,0276;0,152502568;0,068072057;0,167005504;-1,557755123;-177,1429683
0,0277;0,152608259;0,067446079;0,166847997;-1,575063795;-173,0867151
0,0278;0,152709124;0,066821228;0,166688792;-1,592058101;-169,9430597
0,0279;0,152805223;0,066197544;0,166527928;-1,608632448;-165,7434735
0,028;0,152896602;0,065575069;0,166365443;-1,624858034;-162,255855
0,0281;0,152983315;0,064953846;0,166201375;-1,640678692;-158,2065848
0,0282;0,153065412;0,064333921;0,16603576;-1,6561482;-154,6950783
0,0283;0,153142944;0,063715335;0,165868639;-1,671211728;-150,6352832
0,0284;0,153215966;0,063098132;0,16570005;-1,685888693;-146,7696449
0,0285;0,153284532;0,062482353;0,165530035;-1,700153197;-142,6450399
0,0286;0,153348696;0,061868036;0,16535863;-1,714046249;-138,9305246
0,0287;0,153408508;0,061255219;0,165185872;-1,727579874;-135,3362518
0,0288;0,153464019;0,060643939;0,165011795;-1,740770457;-131,9058207
0,0289;0,153515293;0,060034233;0,164836447;-1,753477116;-127,0665898
0,029;0,153562496;0,059426128;0,164659967;-1,764800664;-113,2354858
0,0291;0,153605702;0,05881967;0,164482416;-1,775507721;-107,0705647
0,0292;0,153644999;0,058214943;0,164303881;-1,785348339;-98,40618044
0,0293;0,153680425;0,057612006;0,164124392;-1,794893761;-95,45421983
0,0294;0,153712016;0,057010905;0,163943976;-1,804165816;-92,72055688
0,0295;0,153739848;0,056411656;0,163762681;-1,812940314;-87,74497843
0,0296;0,153763983;0,055814292;0,163580554;-1,82127704;-83,36726275
0,0297;0,153784443;0,05521888;0,163397612;-1,82941638;-81,39339117
0,0298;0,153801272;0,054625483;0,163213893;-1,837196461;-77,80081778
0,0299;0,153814551;0,054034143;0,163029459;-1,844331216;-71,3475509
0,03;0,153824374;0,053444901;0,16284439;-1,850695131;-63,63914715
0,0301;0,153830818;0,052857806;0,162658748;-1,856420112;-57,24981106
0,0302;0,15383394;0,052272899;0,162472574;-1,861742092;-53,21979533
0,0303;0,15383378;0,051690205;0,162285887;-1,866870067;-51,27975261
0,0304;0,153830368;0,051109744;0,162098699;-1,87187753;-50,07462714
0,0305;0,153823745;0,050531564;0,161911036;-1,876630807;-47,53277116
0,0306;0,153813958;0,04995573;0,161722938;-1,88097939;-43,48583566
0,0307;0,153801061;0,049382285;0,161534443;-1,884946707;-39,67316856
0,0308;0,153785105;0,048811244;0,16134558;-1,88863673;-36,90023079
0,0309;0,153766138;0,048242616;0,161156369;-1,892102188;-34,65457228
0,031;0,1537442;0,047676442;0,160966836;-1,89533368;-32,31492523
0,0311;0,153719324;0,047112785;0,160777004;-1,898320553;-29,86872644
0,0312;0,153691547;0,046551688;0,160586897;-1,901071234;-27,50680809
0,0313;0,153660918;0,045993164;0,160396536;-1,903603898;-25,32664113
0,0314;0,153627486;0,045437214;0,160205945;-1,905912225;-23,0832761
0,0315;0,153591294;0,044883871;0,160015148;-1,907972695;-20,60470083
0,0316;0,153552377;0,044333188;0,159824166;-1,90981997;-18,47274172
0,0317;0,153510761;0,043785215;0,159633013;-1,911526184;-17,06214781
0,0318;0,153466478;0,04323997;0,159441697;-1,91315784;-16,3165546
0,0319;0,153419561;0,042697456;0,159250226;-1,914712044;-15,54204567
0,032;0,153370051;0,042157694;0,159058617;-1,916094235;-13,82190851
0,0321;0,153317983;0,041620728;0,158866891;-1,917259144;-11,64909209
0,0322;0,153263392;0,041086605;0,158675065;-1,918254463;-9,953181923
0,0323;0,153206304;0,040555352;0,158483148;-1,919179087;-9,246246443
0,0324;0,153146744;0,040026976;0,158291137;-1,920105858;-9,267704662
0,0325;0,153084743;0,039501489;0,158099039;-1,920978919;-8,73061535
0,0326;0,153020338;0,038978925;0,157906873;-1,921662767;-6,838475913
0,0327;0,15295372;0,038459279;0,157714795;-1,920780529;8,822382272
0,0328;0,152884996;0,037942591;0,157522894;-1,919009875;17,70653865
0,0329;0,152814183;0,037428989;0,157331191;-1,917024013;19,85862168
0,033;0,152741328;0,036918615;0,157139739;-1,914528557;24,95455786
